,word,epoch,sentiword_set,value,normalized_by_freq
0,Flüchtling,1,standard,5.9387166350352345,0.058611732171610045
1,Flüchtling,2,standard,13.956555969780313,0.270207189267319
2,Flüchtling,3,standard,-11.288655035750708,-0.3484784944158419
3,Flüchtling,4,standard,-21.628969107114244,-0.4430219198509311
4,Flüchtling,5,standard,-23.233056836557807,-0.3037833085555231
5,Flüchtling,6,standard,-29.97220042820481,-0.6486989857525929
6,Flüchtling,7,standard,-22.82039428199641,-0.07244523875867785
7,Flüchtling,8,standard,-6.610265494542546,-0.1038608987729502
8,Vertriebene,1,standard,13.937740608893364,0.11802652593620654
9,Vertriebene,2,standard,12.668002673657613,0.3302472930424354
10,Vertriebene,3,standard,-2.5528244941087905,-0.19004171061064232
11,Vertriebene,4,standard,0.93687577968376,0.08379764997879927
12,Vertriebene,5,standard,-3.38502729893844,-0.24431987982051565
13,Vertriebene,6,standard,-7.847687645116821,-0.7874877207459088
14,Vertriebene,7,standard,-6.860112680238672,-1.2622101218430928
15,Vertriebene,8,standard,-0.7335797802061279,-0.23381417153715567
16,Heimatvertriebener,1,standard,1.638958747007564,0.677388062204903
17,Heimatvertriebener,2,standard,0.1018381794947345,0.5592906651209448
18,Heimatvertriebener,3,standard,0.0255323420415152,0.1647292494845626
19,Heimatvertriebener,4,standard,0.0944317004224331,1.3471883708647956
20,Heimatvertriebener,5,standard,0.1015144897601203,0.7326974274627442
21,Heimatvertriebener,6,standard,0.0459429069851466,0.6761638912672676
22,Heimatvertrieben,1,standard,12.215843395624688,0.19058594995466438
23,Heimatvertrieben,2,standard,4.332466906169429,0.3817173023023973
24,Heimatvertrieben,3,standard,-0.7076702625490725,-0.5073042524423187
25,Heimatvertrieben,4,standard,-0.4322462928375898,-0.16894639454070834
26,Heimatvertrieben,5,standard,0.532838469309354,0.11654087185848469
27,Heimatvertrieben,6,standard,-0.482811773319554,-0.30894667053397207
28,Heimatvertrieben,7,standard,-1.006821271206718,-0.5636259381180859
29,Heimatvertrieben,8,standard,0.0631125703494035,0.5632450415673047
30,Fremdarbeiter,1,standard,-0.1980429687580454,-0.4665560225880943
31,Fremdarbeiter,2,standard,-0.0142426142381282,-0.11732968759593197
32,Fremdarbeiter,4,standard,-0.1546635066079034,-1.4709811540492683
33,Fremdarbeiter,6,standard,0.0330130673019084,0.48586921277627015
34,Gastarbeiter,1,standard,-0.400721451271238,-1.8880650764153177
35,Gastarbeiter,2,standard,-1.2902601169480477,-0.0802194347602269
36,Gastarbeiter,3,standard,-2.507912383196526,-0.3762911205346036
37,Gastarbeiter,4,standard,-3.25423496968142,-1.8949307288369135
38,Gastarbeiter,5,standard,-1.2501706493719666,-0.9254678015121376
39,Gastarbeiter,6,standard,-0.9143898378142694,-1.0093136755663363
40,Gastarbeiter,7,standard,-3.479075509687391,-1.6059256909865245
41,Gastarbeiter,8,standard,-0.3825222825762466,-0.11012262475031828
42,Ausländer,1,standard,1.4103432417796284,0.08789767627172375
43,Ausländer,2,standard,-5.503918714079191,-0.2518939338895101
44,Ausländer,3,standard,-8.182495616783854,-0.4448740812043831
45,Ausländer,4,standard,-12.470258789602669,-0.163289683375853
46,Ausländer,5,standard,-22.34573558781267,-0.25102568114055496
47,Ausländer,6,standard,-24.964742550255323,-0.7152851540488694
48,Ausländer,7,standard,-16.962793301107013,-0.7352670866421663
49,Ausländer,8,standard,-2.742042366444366,-0.20392685616047324
50,Migrant,5,standard,-3.405939235391997,-1.2291461651253361
51,Migrant,6,standard,-12.999480530037545,-0.7274510128403721
52,Migrant,7,standard,-19.533503567625303,-0.61772228128016
53,Migrant,8,standard,-4.743640822438465,-0.17566136963258
54,Asylant,3,standard,0.3125719637610018,0.3781214888885647
55,Asylant,4,standard,-7.949768903941731,-1.7183874166008948
56,Asylant,5,standard,-5.896197718659096,-2.21074135390904
57,Asylant,6,standard,-0.173441907987808,-1.531576860625351
58,Asylant,7,standard,-1.1848793764102084,-3.1175296104363297
59,Asylant,8,standard,-0.1594951147365009,-0.12940057601866187
60,Scheinasylant,4,standard,-3.44897066820522,-2.523279763955013
61,Scheinasylant,5,standard,-2.2094287993677426,-3.543758578010084
62,Scheinasylant,6,standard,0.0622401013970375,2.748052653727124
63,Scheinasylant,7,standard,0.0119920197348619,0.3155213716828667
64,Wirtschaftsasylant,4,standard,-1.8624124207253767,-2.214140258454406
65,Wirtschaftsasylant,5,standard,-0.2691870944936596,-3.8858037331958797
66,Wirtschaftsflüchtling,2,standard,-0.0210488253142102,-0.031527053021516774
67,Wirtschaftsflüchtling,3,standard,0.1092766717447375,0.5287724122628095
68,Wirtschaftsflüchtling,4,standard,-3.011531519092614,-1.8282267784559227
69,Wirtschaftsflüchtling,5,standard,-2.451987703829218,-1.4748018460314132
70,Wirtschaftsflüchtling,6,standard,-1.070988149360346,-3.637441950791112
71,Wirtschaftsflüchtling,7,standard,-1.7820858193881577,-1.8033985376616055
72,Wirtschaftsflüchtling,8,standard,0.0635168922892717,0.1889511309692944
73,Asylmissbrauch,6,standard,-1.771470700054124,-5.214317510216748
74,Asylmissbrauch,7,standard,-3.2176189593737945,-3.3863438188416453
75,Asylmissbrauch,8,standard,0.0110190933196747,0.0491696791979321
76,Asylmißbrauch,3,standard,-0.0505173224614736,-0.9777811140298751
77,Asylmißbrauch,4,standard,-0.1070964037717203,-0.43653327999354
78,Asylmißbrauch,5,standard,-6.615574025454407,-3.183265811671357
79,Asylmißbrauch,6,standard,-0.8378691458779031,-12.331323793523708
80,Asylbewerber,2,standard,-0.3074768373753613,-0.7237066508209385
81,Asylbewerber,3,standard,-4.00018191554409,-0.9800629498910278
82,Asylbewerber,4,standard,-25.08226863667369,-1.0665588056303736
83,Asylbewerber,5,standard,-27.841542199617837,-0.6098661090072577
84,Asylbewerber,6,standard,-18.88314593877294,-2.2056536044673165
85,Asylbewerber,7,standard,-20.769739953393582,-0.523941980419982
86,Asylbewerber,8,standard,-3.840294878995337,-0.2557651005458568
87,Asylsuchende,1,standard,0.0632494242984194,0.7450251835931064
88,Asylsuchende,3,standard,-0.4532633932421959,-1.0966346888518061
89,Asylsuchende,4,standard,-2.154267626676301,-1.6175457368469675
90,Asylsuchende,5,standard,-4.909578947040245,-1.9686493759122672
91,Asylsuchende,6,standard,-3.770077259658137,-2.972466586657261
92,Asylsuchende,7,standard,-9.221790326118937,-1.33315394545081
93,Asylsuchende,8,standard,-0.7066664115491221,-0.23357813937836946
94,multikulturell,4,standard,0.1385114281965798,0.0859148599572431
95,multikulturell,5,standard,0.1799818337967735,0.06928257666442872
96,multikulturell,6,standard,-0.5610518323665019,-0.40609524870018343
97,multikulturell,7,standard,-0.3234433405741583,-0.3868227247483158
98,multikulturell,8,standard,0.0574023294889229,0.056920475201083044
99,Integration,1,standard,9.714037905398072,0.3833273745554627
100,Integration,2,standard,6.601387856549991,0.18248920895263285
101,Integration,3,standard,2.972257686080411,0.09477615559081778
102,Integration,4,standard,-4.055041580228135,-0.10663654964491277
103,Integration,5,standard,-2.4790034028646915,-0.03269550000407908
104,Integration,6,standard,-5.619963576493319,-0.05163028146340504
105,Integration,7,standard,-4.136579713092942,-0.04155682371871103
106,Integration,8,standard,2.807427386080235,0.051341697014613
107,Einwanderungsland,2,standard,0.1206034605943386,0.283863744954526
108,Einwanderungsland,3,standard,-0.1093029916664818,-0.4231198161381461
109,Einwanderungsland,4,standard,1.0439362343458924,0.3237625824304861
110,Einwanderungsland,5,standard,-0.8830487213999731,-0.16342432115821168
111,Einwanderungsland,6,standard,-1.3226348754105857,-0.3226384728820317
112,Einwanderungsland,7,standard,1.9992803234927123,0.4174837669126901
113,Einwanderungsland,8,standard,1.9154902750087783,0.10819429810311625
114,Migrationshintergrund,6,standard,-8.073960188805358,-0.8823888197238073
115,Migrationshintergrund,7,standard,-8.153011345362756,-0.6745705443151431
116,Migrationshintergrund,8,standard,-1.4150957543606637,-0.1262895272009978
117,Geflüchtete,1,standard,-0.1519112382379717,-0.3578774017740089
118,Geflüchtete,2,standard,-0.002424759142741,-0.03995000186855735
119,Geflüchtete,3,standard,-0.0928073034265253,-0.4490797617178853
120,Geflüchtete,4,standard,-0.2081403009206042,-1.48469312558267
121,Geflüchtete,5,standard,-0.1852647985142539,-1.7829052987615803
122,Geflüchtete,6,standard,-0.1262428529271346,-5.573930620508405
123,Geflüchtete,7,standard,-12.013471788843162,-0.46076646573659485
124,Geflüchtete,8,standard,-5.706471372177475,-0.0723396649771316
125,Flüchtende,1,standard,0.0812642461560244,0.6381497864317108
126,Flüchtende,2,standard,-0.0812702517028327,-0.6694988071508202
127,Flüchtende,3,standard,-0.1816362244608171,-3.5156350583885945
128,Flüchtende,4,standard,0.0404565201914479,1.1543274829058958
129,Flüchtende,5,standard,-0.4663283894724372,-3.365801395708995
130,Flüchtende,7,standard,-2.10747078544955,-1.6308690566197033
131,Flüchtende,8,standard,-0.7880567325973971,-0.22687011920276043
132,Flüchtling,1,religion,3.6628005856182426,0.03614974414770998
133,Flüchtling,2,religion,7.006246944016311,0.1356450902468018
134,Flüchtling,3,religion,3.928769652673509,0.12128032339853217
135,Flüchtling,4,religion,11.438263554940931,0.23428770251486872
136,Flüchtling,5,religion,7.237252328010072,0.09463052892784117
137,Flüchtling,6,religion,16.784624080253707,0.363275584092685
138,Flüchtling,7,religion,6.168940012947132,0.019583812908898563
139,Flüchtling,8,religion,1.322066106224156,0.020772384126334992
140,Vertriebene,1,religion,6.081945914833341,0.05150267661041494
141,Vertriebene,2,religion,6.584077624040219,0.17164298654925594
142,Vertriebene,3,religion,2.598071687330957,0.19341007926274298
143,Vertriebene,4,religion,6.955321953272687,0.6221098326684665
144,Vertriebene,5,religion,5.516072269070264,0.39813153479830626
145,Vertriebene,6,religion,8.213999304432946,0.8242458011795768
146,Vertriebene,7,religion,3.3277670428797137,0.6122845848812642
147,Vertriebene,8,religion,0.3715562024103747,0.11842625436276681
148,Heimatvertriebener,1,religion,1.6389101813692832,0.6773679898365992
149,Heimatvertriebener,2,religion,0.0416803238904321,0.22890644929823675
150,Heimatvertriebener,3,religion,0.1067613020304634,0.6888012517174188
151,Heimatvertriebener,4,religion,0.1430292105226271,2.0404936927756654
152,Heimatvertriebener,5,religion,0.1343616679321257,0.9697773064328244
153,Heimatvertriebener,6,religion,0.0510999463676853,0.752062523834059
154,Heimatvertrieben,1,religion,3.939744845520181,0.06146608053533082
155,Heimatvertrieben,2,religion,2.959532770039459,0.2607532589449915
156,Heimatvertrieben,3,religion,0.9193152536490744,0.6590252016968485
157,Heimatvertrieben,4,religion,2.522558260077858,0.9859590009697697
158,Heimatvertrieben,5,religion,2.7184884227554,0.5945798383058855
159,Heimatvertrieben,6,religion,3.267219363928234,2.090662656069222
160,Heimatvertrieben,7,religion,1.8420324669750696,1.031183296314795
161,Heimatvertrieben,8,religion,0.0474074750869704,0.4230856884473883
162,Fremdarbeiter,1,religion,-0.1246934769483232,-0.29375692059416525
163,Fremdarbeiter,2,religion,0.0276276791239524,0.22759494194093952
164,Fremdarbeiter,4,religion,0.3687616989877824,3.507236590215121
165,Fremdarbeiter,6,religion,0.0311772075771159,0.45884998093406476
166,Gastarbeiter,1,religion,-0.0082219759397048,-0.03873919297715885
167,Gastarbeiter,2,religion,1.883933282631915,0.11712991905553584
168,Gastarbeiter,3,religion,0.726776161332964,0.10904663893291536
169,Gastarbeiter,4,religion,0.9796798152369774,0.5704644574253214
170,Gastarbeiter,5,religion,1.1890737408334644,0.8802393987715031
171,Gastarbeiter,6,religion,1.0595830971469695,1.169579610492781
172,Gastarbeiter,7,religion,1.664512782294878,0.7683316538027631
173,Gastarbeiter,8,religion,0.4761555256554004,0.1370782792609956
174,Ausländer,1,religion,3.668691957500414,0.22864611143464816
175,Ausländer,2,religion,3.1713096760431654,0.14513907478992014
176,Ausländer,3,religion,2.7847923491644906,0.15140636740927377
177,Ausländer,4,religion,9.9197577440209,0.12989258110159468
178,Ausländer,5,religion,9.36136935169634,0.10516297880117872
179,Ausländer,6,religion,13.00718084903201,0.37267932319399033
180,Ausländer,7,religion,4.255302449804731,0.18444980018974877
181,Ausländer,8,religion,0.9166090254066148,0.06816860277832573
182,Migrant,5,religion,2.679367217117033,0.9669385483041091
183,Migrant,6,religion,13.40412363334326,0.7500948434656382
184,Migrant,7,religion,8.424288181966403,0.2664074315142645
185,Migrant,8,religion,2.001463469927557,0.07411602765833385
186,Asylant,3,religion,0.3096560978274283,0.37459413616333664
187,Asylant,4,religion,2.681350241489781,0.5795889880762731
188,Asylant,5,religion,1.8894852366502164,0.7084503182524222
189,Asylant,6,religion,0.1597080687597554,1.4103003443942639
190,Asylant,7,religion,0.2151563614966107,0.5660967193737443
191,Asylant,8,religion,0.1869777862723722,0.15169764469784167
192,Scheinasylant,4,religion,0.8328303351233899,0.6093017695967488
193,Scheinasylant,5,religion,0.7796270141552668,1.2504634319294339
194,Scheinasylant,6,religion,0.0091505845784922,0.40402068231972543
195,Scheinasylant,7,religion,0.030727534629932,0.8084704736337379
196,Wirtschaftsasylant,4,religion,0.6658872056964356,0.7916440275607418
197,Wirtschaftsasylant,5,religion,-0.090028861932069,-1.299596061427269
198,Wirtschaftsflüchtling,2,religion,0.2639166111275699,0.3952958356617026
199,Wirtschaftsflüchtling,3,religion,0.1828976270589919,0.8850124908913527
200,Wirtschaftsflüchtling,4,religion,1.4579080536125275,0.885060152033231
201,Wirtschaftsflüchtling,5,religion,1.3963437140882888,0.8398615882191232
202,Wirtschaftsflüchtling,6,religion,0.3722593482716547,1.2643200307923137
203,Wirtschaftsflüchtling,7,religion,1.034052011849781,1.0464186773430357
204,Wirtschaftsflüchtling,8,religion,0.0773231116523902,0.2300221070364285
205,Asylmissbrauch,6,religion,0.2491460525939146,0.7333604922746615
206,Asylmissbrauch,7,religion,0.5229210033685376,0.5503418303589763
207,Asylmissbrauch,8,religion,0.0200178415202003,0.08932412288639655
208,Asylmißbrauch,3,religion,0.0155899441333531,0.3017490278507697
209,Asylmißbrauch,4,religion,0.1322756399724767,0.5391658071312131
210,Asylmißbrauch,5,religion,1.182182658563761,0.5688397750032413
211,Asylmißbrauch,6,religion,0.1518833467735021,2.235340371610995
212,Asylbewerber,2,religion,0.1638323911338375,0.38561145644513034
213,Asylbewerber,3,religion,0.2835719750746648,0.06947643688857075
214,Asylbewerber,4,religion,2.6013323070401384,0.11061494949415288
215,Asylbewerber,5,religion,3.476659371292044,0.0761558647833309
216,Asylbewerber,6,religion,5.939242268777889,0.6937356286081772
217,Asylbewerber,7,religion,2.328200304444181,0.05873168759272685
218,Asylbewerber,8,religion,0.8542658914780077,0.05689443350348356
219,Asylsuchende,1,religion,0.0831358057371858,0.9792700822109384
220,Asylsuchende,3,religion,0.1289769248804049,0.3120493999604961
221,Asylsuchende,4,religion,0.8468565176126504,0.6358676762454274
222,Asylsuchende,5,religion,2.0742981470966697,0.8317547791342924
223,Asylsuchende,6,religion,1.4313312954636783,1.128513862495336
224,Asylsuchende,7,religion,1.2750481753537315,0.1843281451323208
225,Asylsuchende,8,religion,0.346198934823974,0.1144309418551389
226,multikulturell,4,religion,1.615544958022383,1.0020784611803644
227,multikulturell,5,religion,3.391643521874357,1.3055862214850134
228,multikulturell,6,religion,2.640680614786106,1.911352550932946
229,multikulturell,7,religion,1.110519074287822,1.328127558410809
230,multikulturell,8,religion,0.3227607667280381,0.3200514052652007
231,Integration,1,religion,1.582340408982418,0.0624410158304186
