word,value
streicheln,1
Freiheit,1
Gesundheit,1
Liebe,1
Frieden,1
Freude,1
Freund,1
Himmel,1
loyal,1
Vergnügen,1
Diamant,1
sanft,1
ehrlich,1
glücklich,1
Regenbogen,1
Geschenk,1
Ehre,1
Wunder,1
Sonnenaufgang,1
Familie,1
Lachen,1
Paradies,1
Ferien,1
Missbrauch,-1
Mißbrauch,-1
Absturz,-1
Schmutz,-1
Mord,-1
Krankheit,-1
Tod,-1
Trauer,-1
vergiften,-1
stinken,-1
Angriff,-1
Katastrophe,-1
Haß,-1
Hass,-1
verschmutzen,-1
Tragödie,-1
Scheidung,-1
Gefängnis,-1
Armut,-1
häßlich,-1
hässlich,-1
Krebs,-1
töten,-1
faul,-1
erbrechen,-1
Qual,-1
